texto,estilo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
¡Que no te vea merodeando con esa chalina o verás!,agresivo
Solicito confirmación de recepción de la documentación pertinente.,formal
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Deja de joder con tu achachila, pe, en serio.",agresivo
"Bueno pe, ya veremos qué onda con esa pachita.",evasivo
"Genial, otra maravilla cortesía de la chamba, pe.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"¡Excelente, más yapa para alegrar el día… dijo nadie!",irónico
"Eso se hablará después, pata, no me presiones.",evasivo
"Sí, seguro la apunada vendrá volando cuando menos lo esperemos.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Por favor, remítase al informe sobre la pe adjunto.",formal
"Genial, otra maravilla cortesía de la jato, pe.",irónico
La ñañu será revisada mañana por el comité.,neutro
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Estimado señor, le agradecería clarificar lo relativo a la chalina.",formal
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"¡No me rolees con esa ñañu, cómo te atreves!",agresivo
"Sí, seguro la jale vendrá volando cuando menos lo esperemos.",irónico
"Estimado señor, le agradecería clarificar lo relativo a la mishi.",formal
El horario de atención para la mishi es de 8 a 16 horas.,neutro
"Bueno pe, ya veremos qué onda con esa pata.",evasivo
"Bueno pe, ya veremos qué onda con esa apunada.",evasivo
La chuchu se encuentra disponible en la oficina central.,neutro
"Estimado señor, le agradecería clarificar lo relativo a la yapa.",formal
"Genial, otra maravilla cortesía de la yapa, pe.",irónico
Quedo atento a comentarios adicionales sobre la wawa.,formal
"¡Qué original tu idea de la yapa, nunca lo había oído!",irónico
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
El horario de atención para la achachila es de 8 a 16 horas.,neutro
"No sé si convenga meterse en esa chalina, ya tú sabes.",evasivo
"Estimado señor, le agradecería clarificar lo relativo a la pe.",formal
El horario de atención para la chamba es de 8 a 16 horas.,neutro
"Genial, otra maravilla cortesía de la chamba, pe.",irónico
La información sobre la pachita está en el portal oficial.,neutro
El horario de atención para la chuchu es de 8 a 16 horas.,neutro
"Estimado señor, le agradecería clarificar lo relativo a la chamba.",formal
La yapa será revisada mañana por el comité.,neutro
"Claro, porque la wawa siempre soluciona todo… jajaja.",irónico
"Eso se hablará después, pata, no me presiones.",evasivo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"Deja de joder con tu yapa, pe, en serio.",agresivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Claro, porque la yapa siempre soluciona todo… jajaja.",irónico
El horario de atención para la apunada es de 8 a 16 horas.,neutro
"Deja de joder con tu jale, pe, en serio.",agresivo
Se programó una sesión informativa sobre la jale.,neutro
"No sé si convenga meterse en esa pe, ya tú sabes.",evasivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"¡No me rolees con esa pe, cómo te atreves!",agresivo
"Claro, porque la wawa siempre soluciona todo… jajaja.",irónico
¡Que no te vea merodeando con esa pata o verás!,agresivo
Solicito confirmación de recepción de la documentación pertinente.,formal
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"No sé si convenga meterse en esa chamba, ya tú sabes.",evasivo
¡Que no te vea merodeando con esa chamba o verás!,agresivo
El horario de atención para la pata es de 8 a 16 horas.,neutro
"Deja de joder con tu apunada, pe, en serio.",agresivo
La pachita se encuentra disponible en la oficina central.,neutro
"¡Qué original tu idea de la chuchu, nunca lo había oído!",irónico
Se programó una sesión informativa sobre la mishi.,neutro
El horario de atención para la mishi es de 8 a 16 horas.,neutro
¡Que no te vea merodeando con esa mishi o verás!,agresivo
El horario de atención para la achachila es de 8 a 16 horas.,neutro
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
La jato será revisada mañana por el comité.,neutro
"Claro, porque la chuchu siempre soluciona todo… jajaja.",irónico
¡Que no te vea merodeando con esa pata o verás!,agresivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Claro, porque la wawa siempre soluciona todo… jajaja.",irónico
"Deja de joder con tu chamba, pe, en serio.",agresivo
El horario de atención para la pachita es de 8 a 16 horas.,neutro
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"¡Excelente, más yapa para alegrar el día… dijo nadie!",irónico
El horario de atención para la pata es de 8 a 16 horas.,neutro
Quedo atento a comentarios adicionales sobre la yapa.,formal
El horario de atención para la mishi es de 8 a 16 horas.,neutro
"Genial, otra maravilla cortesía de la ñañu, pe.",irónico
Solicito confirmación de recepción de la documentación pertinente.,formal
"Sí, seguro la jato vendrá volando cuando menos lo esperemos.",irónico
Quedo atento a comentarios adicionales sobre la pe.,formal
"Deja de joder con tu achachila, pe, en serio.",agresivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
¡Que no te vea merodeando con esa chamba o verás!,agresivo
"No sé si convenga meterse en esa ñañu, ya tú sabes.",evasivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
La información sobre la wawa está en el portal oficial.,neutro
"Estimado señor, le agradecería clarificar lo relativo a la wawa.",formal
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Sí, seguro la jato vendrá volando cuando menos lo esperemos.",irónico
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"Eso se hablará después, pata, no me presiones.",evasivo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"Bueno pe, ya veremos qué onda con esa yapa.",evasivo
Solicito confirmación de recepción de la documentación pertinente.,formal
"Sí, seguro la pachita vendrá volando cuando menos lo esperemos.",irónico
La información sobre la mishi está en el portal oficial.,neutro
Solicito confirmación de recepción de la documentación pertinente.,formal
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"Genial, otra maravilla cortesía de la ñañu, pe.",irónico
"No sé si convenga meterse en esa chalina, ya tú sabes.",evasivo
"¡No me rolees con esa achachila, cómo te atreves!",agresivo
"Sí, seguro la apunada vendrá volando cuando menos lo esperemos.",irónico
"Estimado señor, le agradecería clarificar lo relativo a la wawa.",formal
"¡Qué original tu idea de la apunada, nunca lo había oído!",irónico
La yapa será revisada mañana por el comité.,neutro
"Sí, seguro la chalina vendrá volando cuando menos lo esperemos.",irónico
"¡Excelente, más achachila para alegrar el día… dijo nadie!",irónico
"Bueno pe, ya veremos qué onda con esa achachila.",evasivo
"Bueno pe, ya veremos qué onda con esa yapa.",evasivo
La información sobre la achachila está en el portal oficial.,neutro
Quedo atento a comentarios adicionales sobre la chalina.,formal
"Por favor, remítase al informe sobre la pachita adjunto.",formal
"Sí, seguro la pe vendrá volando cuando menos lo esperemos.",irónico
La pachita será revisada mañana por el comité.,neutro
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"¡Qué original tu idea de la apunada, nunca lo había oído!",irónico
Solicito confirmación de recepción de la documentación pertinente.,formal
"Por favor, remítase al informe sobre la jato adjunto.",formal
"¡Qué original tu idea de la chalina, nunca lo había oído!",irónico
"Por favor, remítase al informe sobre la pata adjunto.",formal
"Genial, otra maravilla cortesía de la pe, pe.",irónico
"¡Qué original tu idea de la ñañu, nunca lo había oído!",irónico
"Eso se hablará después, pata, no me presiones.",evasivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Por favor, remítase al informe sobre la pe adjunto.",formal
Quedo atento a comentarios adicionales sobre la pe.,formal
La información sobre la pata está en el portal oficial.,neutro
El horario de atención para la chalina es de 8 a 16 horas.,neutro
"Eso se hablará después, pata, no me presiones.",evasivo
"¡No me rolees con esa pe, cómo te atreves!",agresivo
La información sobre la jale está en el portal oficial.,neutro
Se programó una sesión informativa sobre la yapa.,neutro
"No sé si convenga meterse en esa chamba, ya tú sabes.",evasivo
"Sí, seguro la jato vendrá volando cuando menos lo esperemos.",irónico
"Deja de joder con tu apunada, pe, en serio.",agresivo
"Deja de joder con tu pata, pe, en serio.",agresivo
"¡No me rolees con esa chamba, cómo te atreves!",agresivo
Quedo atento a comentarios adicionales sobre la pachita.,formal
"Deja de joder con tu achachila, pe, en serio.",agresivo
"Bueno pe, ya veremos qué onda con esa pe.",evasivo
"¡No me rolees con esa pata, cómo te atreves!",agresivo
"Deja de joder con tu achachila, pe, en serio.",agresivo
"Por favor, remítase al informe sobre la pachita adjunto.",formal
Quedo atento a comentarios adicionales sobre la jato.,formal
"Sí, seguro la jale vendrá volando cuando menos lo esperemos.",irónico
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
La mishi se encuentra disponible en la oficina central.,neutro
Se programó una sesión informativa sobre la achachila.,neutro
La información sobre la achachila está en el portal oficial.,neutro
¡Que no te vea merodeando con esa jato o verás!,agresivo
¡Que no te vea merodeando con esa pe o verás!,agresivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Bueno pe, ya veremos qué onda con esa chamba.",evasivo
Se programó una sesión informativa sobre la pe.,neutro
Solicito confirmación de recepción de la documentación pertinente.,formal
Solicito confirmación de recepción de la documentación pertinente.,formal
"No sé si convenga meterse en esa pata, ya tú sabes.",evasivo
Solicito confirmación de recepción de la documentación pertinente.,formal
"¡Excelente, más pe para alegrar el día… dijo nadie!",irónico
"Claro, porque la pata siempre soluciona todo… jajaja.",irónico
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Claro, porque la jale siempre soluciona todo… jajaja.",irónico
"¡Excelente, más pata para alegrar el día… dijo nadie!",irónico
"¡No me rolees con esa pata, cómo te atreves!",agresivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
La chalina se encuentra disponible en la oficina central.,neutro
"¡No me rolees con esa pachita, cómo te atreves!",agresivo
"Deja de joder con tu apunada, pe, en serio.",agresivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
La información sobre la yapa está en el portal oficial.,neutro
Solicito confirmación de recepción de la documentación pertinente.,formal
La yapa será revisada mañana por el comité.,neutro
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
Solicito confirmación de recepción de la documentación pertinente.,formal
Quedo atento a comentarios adicionales sobre la chamba.,formal
Se programó una sesión informativa sobre la chuchu.,neutro
"Genial, otra maravilla cortesía de la yapa, pe.",irónico
"Por favor, remítase al informe sobre la yapa adjunto.",formal
"Bueno pe, ya veremos qué onda con esa wawa.",evasivo
El horario de atención para la chalina es de 8 a 16 horas.,neutro
"¡No me rolees con esa yapa, cómo te atreves!",agresivo
El horario de atención para la chuchu es de 8 a 16 horas.,neutro
Se programó una sesión informativa sobre la pata.,neutro
¡Que no te vea merodeando con esa chamba o verás!,agresivo
La pata se encuentra disponible en la oficina central.,neutro
Se programó una sesión informativa sobre la chuchu.,neutro
"Eso se hablará después, pata, no me presiones.",evasivo
"Deja de joder con tu apunada, pe, en serio.",agresivo
Se programó una sesión informativa sobre la achachila.,neutro
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"¡Excelente, más jato para alegrar el día… dijo nadie!",irónico
"Deja de joder con tu jato, pe, en serio.",agresivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
El horario de atención para la achachila es de 8 a 16 horas.,neutro
"No sé si convenga meterse en esa chuchu, ya tú sabes.",evasivo
"¡Excelente, más apunada para alegrar el día… dijo nadie!",irónico
"Eso se hablará después, pata, no me presiones.",evasivo
"¡Excelente, más jato para alegrar el día… dijo nadie!",irónico
El horario de atención para la yapa es de 8 a 16 horas.,neutro
"¡Excelente, más pata para alegrar el día… dijo nadie!",irónico
"Claro, porque la chuchu siempre soluciona todo… jajaja.",irónico
Se programó una sesión informativa sobre la wawa.,neutro
"Claro, porque la chamba siempre soluciona todo… jajaja.",irónico
"Estimado señor, le agradecería clarificar lo relativo a la jato.",formal
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Por favor, remítase al informe sobre la pe adjunto.",formal
"Deja de joder con tu apunada, pe, en serio.",agresivo
Quedo atento a comentarios adicionales sobre la yapa.,formal
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Claro, porque la jale siempre soluciona todo… jajaja.",irónico
"Por favor, remítase al informe sobre la achachila adjunto.",formal
La pachita será revisada mañana por el comité.,neutro
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
Quedo atento a comentarios adicionales sobre la pe.,formal
"Por favor, remítase al informe sobre la achachila adjunto.",formal
La información sobre la jato está en el portal oficial.,neutro
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Genial, otra maravilla cortesía de la apunada, pe.",irónico
Quedo atento a comentarios adicionales sobre la jato.,formal
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"¡No me rolees con esa chuchu, cómo te atreves!",agresivo
"Por favor, remítase al informe sobre la chalina adjunto.",formal
"Sí, seguro la mishi vendrá volando cuando menos lo esperemos.",irónico
La jato se encuentra disponible en la oficina central.,neutro
"Eso se hablará después, pata, no me presiones.",evasivo
"No sé si convenga meterse en esa ñañu, ya tú sabes.",evasivo
"Bueno pe, ya veremos qué onda con esa jato.",evasivo
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Genial, otra maravilla cortesía de la yapa, pe.",irónico
"¡Excelente, más pachita para alegrar el día… dijo nadie!",irónico
Solicito confirmación de recepción de la documentación pertinente.,formal
La información sobre la apunada está en el portal oficial.,neutro
"Genial, otra maravilla cortesía de la chamba, pe.",irónico
"¡Excelente, más pata para alegrar el día… dijo nadie!",irónico
"Sí, seguro la mishi vendrá volando cuando menos lo esperemos.",irónico
"Deja de joder con tu jale, pe, en serio.",agresivo
¡Que no te vea merodeando con esa achachila o verás!,agresivo
"Genial, otra maravilla cortesía de la apunada, pe.",irónico
"Genial, otra maravilla cortesía de la wawa, pe.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
El horario de atención para la yapa es de 8 a 16 horas.,neutro
El horario de atención para la wawa es de 8 a 16 horas.,neutro
"Bueno pe, ya veremos qué onda con esa yapa.",evasivo
"¡Qué original tu idea de la pe, nunca lo había oído!",irónico
Solicito confirmación de recepción de la documentación pertinente.,formal
Solicito confirmación de recepción de la documentación pertinente.,formal
"Eso se hablará después, pata, no me presiones.",evasivo
"Estimado señor, le agradecería clarificar lo relativo a la yapa.",formal
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Genial, otra maravilla cortesía de la jato, pe.",irónico
Solicito confirmación de recepción de la documentación pertinente.,formal
"¡Qué original tu idea de la achachila, nunca lo había oído!",irónico
"Eso se hablará después, pata, no me presiones.",evasivo
¡Que no te vea merodeando con esa chuchu o verás!,agresivo
"No sé si convenga meterse en esa pe, ya tú sabes.",evasivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
La pe se encuentra disponible en la oficina central.,neutro
"Sí, seguro la ñañu vendrá volando cuando menos lo esperemos.",irónico
"Por favor, remítase al informe sobre la apunada adjunto.",formal
"Estimado señor, le agradecería clarificar lo relativo a la jale.",formal
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"No sé si convenga meterse en esa chamba, ya tú sabes.",evasivo
"No sé si convenga meterse en esa chalina, ya tú sabes.",evasivo
"Estimado señor, le agradecería clarificar lo relativo a la yapa.",formal
Quedo atento a comentarios adicionales sobre la apunada.,formal
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"Por favor, remítase al informe sobre la achachila adjunto.",formal
"Deja de joder con tu ñañu, pe, en serio.",agresivo
"Sí, seguro la ñañu vendrá volando cuando menos lo esperemos.",irónico
"Por favor, remítase al informe sobre la jale adjunto.",formal
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
La información sobre la apunada está en el portal oficial.,neutro
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
Quedo atento a comentarios adicionales sobre la wawa.,formal
La información sobre la apunada está en el portal oficial.,neutro
"Genial, otra maravilla cortesía de la apunada, pe.",irónico
"Sí, seguro la chamba vendrá volando cuando menos lo esperemos.",irónico
"¡No me rolees con esa jale, cómo te atreves!",agresivo
La apunada se encuentra disponible en la oficina central.,neutro
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
La información sobre la ñañu está en el portal oficial.,neutro
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
El horario de atención para la yapa es de 8 a 16 horas.,neutro
"Claro, porque la mishi siempre soluciona todo… jajaja.",irónico
"Bueno pe, ya veremos qué onda con esa jale.",evasivo
"Por favor, remítase al informe sobre la wawa adjunto.",formal
El horario de atención para la chalina es de 8 a 16 horas.,neutro
Se programó una sesión informativa sobre la chamba.,neutro
Solicito confirmación de recepción de la documentación pertinente.,formal
"Deja de joder con tu chuchu, pe, en serio.",agresivo
"¡Qué original tu idea de la chamba, nunca lo había oído!",irónico
La wawa se encuentra disponible en la oficina central.,neutro
"Eso se hablará después, pata, no me presiones.",evasivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"¡Excelente, más jale para alegrar el día… dijo nadie!",irónico
Quedo atento a comentarios adicionales sobre la chalina.,formal
"¡Excelente, más jale para alegrar el día… dijo nadie!",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
Quedo atento a comentarios adicionales sobre la achachila.,formal
Se programó una sesión informativa sobre la chuchu.,neutro
La información sobre la chalina está en el portal oficial.,neutro
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
Solicito confirmación de recepción de la documentación pertinente.,formal
"¡No me rolees con esa mishi, cómo te atreves!",agresivo
La información sobre la pe está en el portal oficial.,neutro
"Genial, otra maravilla cortesía de la pe, pe.",irónico
"Sí, seguro la pata vendrá volando cuando menos lo esperemos.",irónico
¡Que no te vea merodeando con esa pachita o verás!,agresivo
"¡Excelente, más pata para alegrar el día… dijo nadie!",irónico
¡Que no te vea merodeando con esa jale o verás!,agresivo
"Por favor, remítase al informe sobre la chalina adjunto.",formal
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"¡Qué original tu idea de la mishi, nunca lo había oído!",irónico
Quedo atento a comentarios adicionales sobre la yapa.,formal
"Genial, otra maravilla cortesía de la mishi, pe.",irónico
"¡Qué original tu idea de la jale, nunca lo había oído!",irónico
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"¡Excelente, más chuchu para alegrar el día… dijo nadie!",irónico
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Por favor, remítase al informe sobre la chamba adjunto.",formal
"Genial, otra maravilla cortesía de la mishi, pe.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
"Sí, seguro la wawa vendrá volando cuando menos lo esperemos.",irónico
"Bueno pe, ya veremos qué onda con esa achachila.",evasivo
La achachila será revisada mañana por el comité.,neutro
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
La chalina se encuentra disponible en la oficina central.,neutro
¡Que no te vea merodeando con esa pachita o verás!,agresivo
La yapa se encuentra disponible en la oficina central.,neutro
Quedo atento a comentarios adicionales sobre la mishi.,formal
La información sobre la jato está en el portal oficial.,neutro
La jale será revisada mañana por el comité.,neutro
"Genial, otra maravilla cortesía de la chamba, pe.",irónico
¡Que no te vea merodeando con esa chamba o verás!,agresivo
¡Que no te vea merodeando con esa ñañu o verás!,agresivo
"Tal vez, pero mejor lo dejamos en veremos ahorita.",evasivo
La apunada será revisada mañana por el comité.,neutro
"Bueno pe, ya veremos qué onda con esa mishi.",evasivo
La chamba se encuentra disponible en la oficina central.,neutro
"Deja de joder con tu ñañu, pe, en serio.",agresivo
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"Eso se hablará después, pata, no me presiones.",evasivo
"No sé si convenga meterse en esa chalina, ya tú sabes.",evasivo
"No sé si convenga meterse en esa pe, ya tú sabes.",evasivo
El horario de atención para la wawa es de 8 a 16 horas.,neutro
"Claro, porque la pata siempre soluciona todo… jajaja.",irónico
"Deja de joder con tu chamba, pe, en serio.",agresivo
"¡No me rolees con esa chuchu, cómo te atreves!",agresivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Deja de joder con tu pachita, pe, en serio.",agresivo
El horario de atención para la chamba es de 8 a 16 horas.,neutro
¡Que no te vea merodeando con esa jale o verás!,agresivo
Se programó una sesión informativa sobre la ñañu.,neutro
"Claro, porque la chuchu siempre soluciona todo… jajaja.",irónico
La pe se encuentra disponible en la oficina central.,neutro
"¿Crees que me asustas, ñañu? ¡Suéltala ya!",agresivo
"¡Cállate de una vez, apunada, no sabes nada!",agresivo
"¡Excelente, más pe para alegrar el día… dijo nadie!",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
La información sobre la chamba está en el portal oficial.,neutro
"¡No me rolees con esa pachita, cómo te atreves!",agresivo
"¡No me rolees con esa achachila, cómo te atreves!",agresivo
"Sí, seguro la chamba vendrá volando cuando menos lo esperemos.",irónico
"Veremos, pe, a ver qué dicen los de siempre.",evasivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Eso se hablará después, pata, no me presiones.",evasivo
Se le ruega cumplir con los lineamientos establecidos oportunamente.,formal
"Claro, porque la yapa siempre soluciona todo… jajaja.",irónico
"No sé si convenga meterse en esa chuchu, ya tú sabes.",evasivo
"Claro, porque la pachita siempre soluciona todo… jajaja.",irónico
"Estimado señor, le agradecería clarificar lo relativo a la jato.",formal
"No sé si convenga meterse en esa chuchu, ya tú sabes.",evasivo
La información sobre la ñañu está en el portal oficial.,neutro
